sample	group
SRR7039255	Norway
SRR7039262	Norway
SRR7039263	Norway
SRR7039260	Norway
SRR7039259	Norway
SRR7039261	Norway
ERR11205103	Norway
ERR11205104	Norway
ERR11205105	Norway
ERR11205106	Norway
ERR11205107	Norway
ERR11205108	Norway
ERR11205109	Norway
SRR13307418	UK
SRR13307419	UK
SRR13307420	UK
SRR13307421	UK
SRR13307422	UK
SRR13307423	UK
SRR13307424	UK
SRR13307425	UK
SRR13307426	UK
SRR13307427	UK
SRR13307428	UK
SRR13307429	UK
SRR13307430	UK
SRR13307431	UK
SRR13307432	UK
SRR13307433	UK
SRR13307434	UK
SRR13307435	UK
SRR13307436	UK
SRR13307437	UK
SRR13307438	UK
SRR13307439	UK
SRR13307440	UK
SRR13307441	UK
SRR13307442	UK
SRR13307443	UK
SRR13307444	UK
SRR13307445	UK
SRR13307446	UK
SRR13307447	UK
SRR13307448	UK
SRR13307449	UK
SRR13307450	UK
SRR13307451	UK
SRR13307452	UK
SRR13307453	UK
SRR13307454	UK
SRR13307455	UK
SRR13307456	UK
SRR13307457	UK
SRR13307458	UK
SRR13307459	UK
SRR13307460	UK
SRR13307461	UK
SRR13307462	UK
SRR13307463	UK
SRR13307464	UK
SRR13307465	UK
SRR13307466	UK
SRR13307467	UK
SRR13307468	UK
SRR13307469	UK
SRR13307470	UK
SRR13307471	UK
SRR13307472	UK
SRR13307473	UK
SRR13307474	UK
SRR13307475	UK
SRR13307476	UK
SRR13307477	UK
SRR13307478	UK
SRR13307479	UK
SRR13307480	UK
SRR13307481	UK
SRR13307482	UK
SRR13307483	UK
SRR13307484	UK
SRR13307485	UK
SRR13307486	UK
SRR13307487	UK
SRR13307488	UK
SRR13307489	UK
SRR13307490	UK
SRR13307491	UK
SRR13307492	UK
SRR13307493	UK
SRR13307494	UK
SRR13307495	UK
SRR13307496	UK
SRR13307497	UK
SRR13307498	UK
SRR13307499	UK
SRR13307500	UK
SRR13307501	UK
SRR13307502	UK
SRR13307503	UK
SRR13307504	UK
SRR13307505	UK
SRR13307506	UK
SRR13307507	UK
SRR13307508	UK
SRR13307509	UK
SRR13307510	UK
SRR13307511	UK
SRR13307512	UK
SRR13307513	UK
SRR13307514	UK
SRR13307515	UK
SRR13307516	UK
SRR13307517	UK
SRR13307518	UK
SRR13307519	UK
SRR13307520	UK
SRR13307521	UK
SRR13307522	UK
SRR13307523	UK
SRR13307524	UK
SRR13307525	UK
SRR13307526	UK
SRR13307527	UK
SRR13307528	UK
SRR13307529	UK
SRR13307530	UK
SRR13307531	UK
SRR13307532	UK
SRR13307533	UK
SRR13307534	UK
SRR13307535	UK
SRR13307536	UK
SRR13307537	UK
SRR13307538	UK
SRR13307539	UK
SRR13307540	UK
SRR13307541	UK
SRR13307542	UK
SRR13307543	UK
SRR13307544	UK
SRR13307545	UK
SRR13307546	UK
SRR13307547	UK
SRR13307548	UK
SRR13307549	UK
SRR13307550	UK
SRR13307551	UK
SRR13307552	UK
SRR13307553	UK
SRR13307554	UK
SRR13307555	UK
SRR13307556	UK
SRR13307557	UK
SRR13307558	UK
SRR13307559	UK
SRR13307560	UK
SRR13307561	UK
SRR13307562	UK
SRR13307563	UK
SRR13307564	UK
SRR13307565	UK
SRR13307566	UK
SRR13307567	UK
SRR13307568	UK
SRR13307569	UK
SRR13307570	UK
SRR13307571	UK
SRR13307572	UK
SRR13307573	UK
SRR13307574	UK
SRR13307575	UK
SRR13307576	UK
SRR13307577	UK
SRR13307578	UK
SRR13307579	UK
SRR13307580	UK
SRR13307581	UK
SRR13307582	UK
SRR13307583	UK
SRR13307584	UK
SRR13307585	UK
SRR13307586	UK
SRR13307587	UK
SRR13307588	UK
SRR13307589	UK
SRR13307590	UK
SRR13307591	UK
SRR13307592	UK
SRR13307593	UK
SRR13307594	UK
SRR13307595	UK
SRR13307596	UK
SRR13307597	UK
SRR13307598	UK
SRR13307599	UK
SRR13307600	UK
SRR13307601	UK
SRR13307602	UK
SRR13307603	UK
SRR13307604	UK
SRR13307605	UK
SRR13307606	UK
SRR13307607	UK
SRR13307608	UK
SRR13307609	UK
SRR13307610	UK
SRR13307611	UK
SRR13307612	UK
SRR13307613	UK
SRR13307614	UK
SRR13307615	UK
SRR13307616	UK
SRR13307617	UK
SRR13307618	UK
SRR13307619	UK
SRR13307620	UK
SRR13307621	UK
SRR13307622	UK
SRR13307623	UK
SRR26091304	UK
SRR26091305	UK
SRR26091306	UK
SRR26091307	UK
SRR26091308	UK
SRR26091309	UK
SRR26091310	UK
SRR26091311	UK
SRR21527946	USA
SRR21527948	USA
SRR21527944	USA
SRR21527945	USA
SRR21527956	USA
SRR21527943	USA
SRR21527947	USA
SRR21527967	USA
SRR21527968	USA
