sample	group
SRR13307444	16-17
SRR13307445	16-17
SRR13307446	16-17
SRR13307447	16-17
SRR13307448	16-17
SRR13307449	16-17
SRR13307450	16-17
SRR13307451	16-17
SRR13307452	16-17
SRR13307453	16-17
SRR13307454	16-17
SRR13307455	16-17
SRR13307456	16-17
SRR13307457	16-17
SRR13307458	16-17
SRR13307459	16-17
SRR13307460	16-17
SRR13307461	16-17
SRR13307462	16-17
SRR13307463	16-17
SRR13307464	16-17
SRR13307465	16-17
SRR13307466	16-17
SRR13307467	16-17
SRR13307468	16-17
SRR13307469	16-17
SRR13307470	16-17
SRR13307471	16-17
SRR13307472	16-17
SRR13307473	16-17
SRR13307474	16-17
SRR13307475	16-17
SRR13307476	16-17
SRR13307477	16-17
SRR13307478	16-17
SRR13307479	16-17
SRR13307480	16-17
SRR13307481	16-17
SRR13307482	16-17
SRR13307483	16-17
SRR13307484	16-17
SRR13307485	16-17
SRR13307486	16-17
SRR13307487	16-17
SRR13307488	16-17
SRR13307489	16-17
SRR13307490	16-17
SRR13307491	16-17
SRR13307492	16-17
SRR13307493	16-17
SRR13307494	16-17
SRR13307495	16-17
SRR13307496	16-17
SRR13307497	16-17
SRR13307498	16-17
SRR13307499	16-17
SRR13307500	16-17
SRR13307501	16-17
SRR13307502	16-17
SRR13307503	16-17
SRR13307504	16-17
SRR13307505	16-17
SRR13307506	16-17
SRR13307507	16-17
SRR13307508	16-17
SRR13307509	16-17
SRR13307510	16-17
SRR13307511	16-17
SRR13307512	16-17
SRR13307513	16-17
SRR13307514	16-17
SRR13307515	16-17
SRR13307516	16-17
SRR13307517	16-17
SRR13307518	16-17
SRR13307519	16-17
SRR13307520	16-17
SRR13307521	16-17
SRR13307522	16-17
SRR13307523	16-17
SRR13307524	16-17
SRR13307525	16-17
SRR13307526	16-17
SRR13307527	16-17
SRR13307528	16-17
SRR13307529	16-17
SRR13307530	16-17
SRR13307531	16-17
SRR13307532	16-17
SRR13307533	16-17
SRR13307534	16-17
SRR13307535	16-17
SRR13307536	16-17
SRR13307537	16-17
SRR13307538	16-17
SRR13307539	16-17
SRR13307540	16-17
SRR13307541	16-17
SRR13307542	16-17
SRR13307543	16-17
SRR13307544	16-17
SRR13307545	16-17
SRR13307546	16-17
SRR13307547	16-17
SRR13307548	16-17
SRR13307549	16-17
SRR13307550	16-17
SRR13307551	16-17
SRR13307552	16-17
SRR13307553	16-17
SRR13307554	16-17
SRR13307555	16-17
SRR13307556	16-17
SRR13307557	16-17
SRR13307558	16-17
SRR13307559	16-17
SRR13307560	16-17
